artikelnr;karpi_code;omschrijving
911179999;ARCT17MAATWERK;
911170004;ARCT17XX020020;ARCTIC LIFE KLEUR 17 CA:020x020 cm
911170005;ARCT17XX100270;ARCTIC LIFE KLEUR 17 CA:100x270 cm
911170006;ARCT17XX135200;ARCTIC LIFE KLEUR 17 CA:135x200 cm
911170000;ARCT17XX140200;ARCTIC LIFE KLEUR 17 CA:140x200 cm
911170001;ARCT17XX160230;ARCTIC LIFE KLEUR 17 CA:160x230 cm
911170002;ARCT17XX200240;ARCTIC LIFE KLEUR 17 CA:200x240 cm
911170003;ARCT17XX200290;ARCTIC LIFE KLEUR 17 CA:200x290 cm
001911002;ARCT22200JUT;ARCTIC LIFE CHARCOAL/GREY- Frans Molenaar FM kleur 22
911229999;ARCT22MAATWERK;
911220004;ARCT22XX020020;ARCTIC LIFE KLEUR 22 CA:020x020 cm
911220000;ARCT22XX140200;ARCTIC LIFE KLEUR 22 CA:140x200 cm
911220001;ARCT22XX160230;ARCTIC LIFE KLEUR 22 CA:160x230 cm
911220002;ARCT22XX200240;ARCTIC LIFE KLEUR 22 CA:200x240 cm
911220003;ARCT22XX200290;ARCTIC LIFE KLEUR 22 CA:200x290 cm
001911003;ARCT24200JUT;ARCTIC LIFE CHARCOAL jute- Frans Molenaar FM kleur 24
911249999;ARCT24MAATWERK;
911240004;ARCT24XX020020;ARCTIC LIFE KLEUR 24 CA:020x020 cm
911240000;ARCT24XX140200;ARCTIC LIFE KLEUR 24 CA:140x200 cm
911240001;ARCT24XX160230;ARCTIC LIFE KLEUR 24 CA:160x230 cm
911240002;ARCT24XX200240;ARCTIC LIFE KLEUR 24 CA:200x240 cm
911240003;ARCT24XX200290;ARCTIC LIFE KLEUR 24 CA:200x290 cm
001911005;ARCT25200JUT;ARCTIC LIFE KLEUR 25 200 BREED
911259999;ARCT25MAATWERK;
911250004;ARCT25XX020020;ARCTIC LIFE KLEUR 25 CA:020x020 cm
911250000;ARCT25XX140200;ARCTIC LIFE KLEUR 25 CA:140x200 cm
911250001;ARCT25XX160230;ARCTIC LIFE KLEUR 25 CA:160x230 cm
911250002;ARCT25XX200240;ARCTIC LIFE KLEUR 25 CA:200x240 cm
911250003;ARCT25XX200290;ARCTIC LIFE KLEUR 25 CA:200x290 cm
001911004;ARCT45200JUT;ARCTIC LIFE RED jute - Frans Molenaar     FM kleur 45
911459999;ARCT45MAATWERK;
911450004;ARCT45XX020020;ARCTIC LIFE KLEUR 45 CA:020x020 cm
